student_id,session_id,concept_name,pre_test_score,attempt_count,time_taken_seconds,error_type,error_pattern_score,post_test_correct_count,post_test_nearly_correct_count,post_test_wrong_count,post_test_clearly_wrong_count,post_test_score,future_success
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000000,Operators,1.0,1,45,UNKNOWN_ERROR,1.0,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000001,Arrays,1.0,4,195,TYPE_MISMATCH,0.889,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000002,Variables,1.0,3,165,SYNTAX_ERROR,0.75,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000003,Loops,1.0,1,45,UNKNOWN_ERROR,1.0,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000004,Arrays,1.0,6,600,TYPE_MISMATCH,0.245,10,0,0,0,1.0,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000005,Loops,1.0,3,360,SYNTAX_ERROR,0.286,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000006,Arrays,1.0,7,405,TYPE_MISMATCH,0.7,10,0,0,0,1.0,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000007,Methods,1.0,1,45,UNKNOWN_ERROR,1.0,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000008,Variables,1.0,1,45,UNKNOWN_ERROR,1.0,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000009,Operators,1.0,10,600,TYPE_MISMATCH,0.373,10,0,0,0,1.0,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000010,Loops,1.0,1,45,UNKNOWN_ERROR,1.0,10,0,0,0,1.0,1
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,SES000011,Variables,1.0,1,45,UNKNOWN_ERROR,1.0,10,0,0,0,1.0,1
